Experiment,Tissue,ROI,Area,Mean,StdDev,Min,Max,Median,SNR
RT03,Muscle,LC_Corpus,0.103,152.109,10.603,119,179,152,14.345845515420166
RT03,Muscle,LC_Antrum,0.103,131.427,11.228,103,162,132,11.70529034556466
RT03,Mucosa,GC_Antrum,0.102,90.815,7.853,69,117,91,11.56437030434229
RT03,Mucosa,GC_Pylorus,0.102,131.418,8.344,105,151,132,15.750000000000002
RT03,Mucosa,LC_Pylorus,0.103,109.684,9.766,78,136,111,11.231210321523653
RT03,Mucosa,LC_LES,0.105,128.197,10.062,105,151,128,12.740707612800637
RT03,Mucosa,GC_LES,0.101,129.149,7.342,108,153,129,17.590438572596025
RT03,Mucosa,GC_Fundus1,0.103,108.823,9.735,77,135,109,11.178531073446328
RT03,Mucosa,GC_Fundus2,0.105,118.778,7.281,99,136,119,16.31341848647164
RT03,Mucosa,GC_Corpus,0.104,89.883,7.638,67,118,90,11.767871170463472
RT03,Mucosa,LC_Corpus,0.103,126.416,10.304,95,152,126,12.26863354037267
RT03,Mucosa,LC_Antrum,0.103,93.875,11.02,63,125,95,8.518602540834847
RT04,Muscle,GC_Antrum,0.105,107.744,9.188,79,136,108,11.726599912929908
RT04,Muscle,GC_Pylorus,0.101,140.621,9.617,103,165,141,14.622127482582925
RT04,Muscle,LC_Pylorus,0.101,155.049,10.551,128,186,156,14.695194768268411
RT04,Muscle,LC_LES,0.103,132.647,10.072,104,155,132,13.169876886417793
RT04,Muscle,GC_LES,0.103,136.0,9.768,111,160,137,13.923013923013922
RT04,Muscle,GC_Fundus1,0.102,108.998,14.1,68,144,109,7.730354609929079
RT04,Muscle,GC_Fundus2,0.105,115.6,7.482,95,134,116,15.45041432771986
